run_id,band,elapsed_s,temp,target_temp,error,abs_error,temp_velocity,current_kp,current_ki,current_kd,kp,ki,kd,history_score,cost,n_samples,far_mae,time_to_reach_mid_band,mid_mae,approach_speed,tail_mae,jitter_std,overshoot
run_1777446440_c3e64395,far,68.10815382003784,25.01659393310547,0.0,-25.01659393310547,25.01659393310547,0.0,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,55.7086865901947,25.10557556152344,0.0,-25.10557556152344,25.10557556152344,-0.04437686677525202,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,38.7862184047699,25.372303009033203,0.0,-25.372303009033203,25.372303009033203,-0.01096970947696682,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,8.860872507095337,25.728031158447266,0.0,-25.728031158447266,25.728031158447266,-0.029857660217291263,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1777446440_c3e64395,far,0.0,25.861433029174805,0.0,-25.861433029174805,25.861433029174805,0.0,7.0,966.0,1.0,7.0,966.0,1.0,19.733259787218916,19.733259787218916,84.0,19.744585718427384,328.69889760017395,,,,,
run_1779762606_d94b9dc8,far,321.41212463378906,10.470951080322266,0.0,-10.470951080322266,10.470951080322266,-0.022259224964879584,6.0,936.0,17.0,6.0,936.0,17.0,19.765511833459904,19.765511833459904,156.0,19.887043573917488,327.3996682167053,,,,,
run_1779762606_d94b9dc8,far,307.4377136230469,11.532794952392578,0.0,-11.532794952392578,11.532794952392578,-0.06548858370271571,6.0,936.0,17.0,6.0,936.0,17.0,19.765511833459904,19.765511833459904,156.0,19.887043573917488,327.3996682167053,,,,,
run_1779762606_d94b9dc8,far,291.4420998096466,12.727863311767578,0.0,-12.727863311767578,12.727863311767578,-0.11435682721609523,6.0,936.0,17.0,6.0,936.0,17.0,19.765511833459904,19.765511833459904,156.0,19.887043573917488,327.3996682167053,,,,,
run_1779762606_d94b9dc8,far,277.3990216255188,13.879110336303713,0.0,-13.879110336303713,13.879110336303713,-0.04514706922487239,6.0,936.0,17.0,6.0,936.0,17.0,19.765511833459904,19.765511833459904,156.0,19.887043573917488,327.3996682167053,,,,,
run_1779762606_d94b9dc8,far,263.42199087142944,14.89791774749756,0.0,-14.89791774749756,14.89791774749756,-0.11170280611861463,6.0,936.0,17.0,6.0,936.0,17.0,19.765511833459904,19.765511833459904,156.0,19.887043573917488,327.3996682167053,,,,,
run_1779762606_d94b9dc8,far,247.41530895233154,16.183002471923828,0.0,-16.183002471923828,16.183002471923828,-0.11031194299919793,6.0,936.0,17.0,6.0,936.0,17.0,19.765511833459904,19.765511833459904,156.0,19.887043573917488,327.3996682167053,,,,,
run_1779762606_d94b9dc8,far,233.4042444229126,17.335643768310547,0.0,-17.335643768310547,17.335643768310547,-0.04536683445525792,6.0,936.0,17.0,6.0,936.0,17.0,19.765511833459904,19.765511833459904,156.0,19.887043573917488,327.3996682167053,,,,,
run_1779762606_d94b9dc8,far,219.41543316841125,18.40000534057617,0.0,-18.40000534057617,18.40000534057617,-0.11153076140289347,6.0,936.0,17.0,6.0,936.0,17.0,19.765511833459904,19.765511833459904,156.0,19.887043573917488,327.3996682167053,,,,,
