rank,candidate_id,kp,ki,kd,score,valid,invalid_reason,tail_mae,tail_bias,tail_std,overshoot_max,overshoot_rmse,final_error,final_abs_error,time_to_near_s,time_to_settle_s,mae_full,p90_abs_error_full,max_abs_error_full,min_temp,max_temp,end_temp,control_abs_mean
608,398,42.0,935.0,6.0,84.14254035950945,True,,8.43770262865436,8.43770262865436,0.1481592286706739,8.654884733259678,5.351954628337056,8.654884733259678,8.654884733259678,474.0,510.0,9.64431733368896,21.536490852013234,26.87047642469406,-8.654884733259678,26.87047642469406,-8.654884733259678,27.413089496547315
609,34,35.0,629.0,9.0,84.36336463598977,True,,7.473430212097219,7.473430212097219,0.5403579196468541,8.760517470655032,5.54004839650732,6.520473115371715,6.520473115371715,438.0,470.0,9.647914610304191,21.48047393113375,26.873709738254547,-8.760517470655032,26.873709738254547,-6.520473115371715,36.30187475685557
610,822,37.0,706.0,7.0,84.40572796971918,True,,7.932994338271051,7.932994338271051,0.299605388351683,8.486704480019398,5.521075747167523,7.381529011116527,7.381529011116527,448.0,482.0,9.64136921573217,21.413129600137474,26.87258791923523,-8.486704480019398,26.87258791923523,-7.381529011116527,33.30803253449614
611,918,29.0,390.0,12.0,84.48235686389086,True,,5.204994847659234,5.204994847659234,0.5089667564284783,9.950025368481874,5.641567990197774,4.686295998151763,4.686295998151763,364.0,384.0,9.311617461193055,21.345583441853528,26.877741239964962,-9.950025368481874,26.877741239964962,-4.686295998151763,49.49923814441805
612,542,32.0,450.0,15.0,84.59095259859052,True,,5.904826996322962,5.904826996322962,1.021017977326536,9.665881695284043,5.63515843505754,4.188537744921632,4.188537744921632,398.0,422.0,9.544500944900696,21.592694223299624,26.87749010324478,-9.665881695284043,26.87749010324478,-4.188537744921632,43.495762242415445
613,642,41.0,796.0,13.0,84.6566257151691,True,,8.43759526096665,8.43759526096665,0.06368015986979339,8.500536244057002,5.456622387841849,8.287788015470142,8.287788015470142,476.0,510.0,9.798138390354652,21.746917675063017,26.873742386698723,-8.500536244057002,26.873742386698723,-8.287788015470142,29.416338498007075
614,270,36.0,657.0,8.0,84.72921130665677,True,,7.730283945111609,7.730283945111609,0.4284866926635883,8.649561308440752,5.556151716520986,6.964088466243993,6.964088466243993,442.0,474.0,9.654898703887412,21.427017327398065,26.873322561383247,-8.649561308440752,26.873322561383247,-6.964088466243993,34.933148670547595
615,450,41.0,841.0,7.0,84.76868742304553,True,,8.444571694733634,8.444571694733634,0.02982481205105553,8.47205114774988,5.467903918083668,8.436123691899866,8.436123691899866,468.0,504.0,9.703973471185055,21.541185378283267,26.871834233403206,-8.47205114774988,26.871834233403206,-8.436123691899866,28.930045275484165
616,114,44.0,973.0,9.0,84.93547596993682,True,,8.594332460544939,8.594332460544939,0.24114601043166858,8.9549866617308,5.334710384984904,8.9549866617308,8.9549866617308,486.0,522.0,9.737949634037019,21.72355218821904,26.871101409196854,-8.9549866617308,26.871101409196854,-8.9549866617308,26.111430650689545
617,831,42.0,809.0,15.0,85.0406826755274,True,,8.55185674703445,8.55185674703445,0.03368022665171342,8.587194065876247,5.457321441880529,8.484766529218632,8.484766529218632,482.0,516.0,9.858524258117862,21.863568017573563,26.87443582713604,-8.587194065876247,26.87443582713604,-8.484766529218632,28.716381535939316
618,10,41.0,783.0,13.0,85.11832941218579,True,,8.467994440565041,8.467994440565041,0.0756738100499771,8.54255381556868,5.490603115343267,8.294718564051436,8.294718564051436,474.0,510.0,9.817115750544641,21.74908821471036,26.87401296198368,-8.54255381556868,26.87401296198368,-8.294718564051436,29.600399115399085
619,439,42.0,906.0,5.0,85.1326226565433,True,,8.517889624695904,8.517889624695904,0.1249641340981265,8.693808123469353,5.434573065612496,8.693808123469353,8.693808123469353,472.0,506.0,9.682103644957145,21.518935020640495,26.870901122689247,-8.693808123469353,26.870901122689247,-8.693808123469353,27.75771936378751
620,102,43.0,919.0,8.0,85.19363729644357,True,,8.578660738981323,8.578660738981323,0.160000308370691,8.80554311349988,5.4043118619527215,8.80554311349988,8.80554311349988,478.0,514.0,9.7377503179914,21.659147841855887,26.871636509895325,-8.80554311349988,26.871636509895325,-8.80554311349988,27.084869311366614
621,313,41.0,797.0,10.0,85.33955133293334,True,,8.482013736106149,8.482013736106149,0.04906367418746146,8.532367299354519,5.511631778453385,8.363906752981165,8.363906752981165,470.0,504.0,9.777889117989922,21.64590767323971,26.873207852244377,-8.532367299354519,26.873207852244377,-8.363906752981165,29.446184121399686
622,926,41.0,760.0,16.0,85.36019130110492,True,,8.488583766534923,8.488583766534923,0.11022603159813239,8.60098311141337,5.50126229446233,8.2478107026418,8.2478107026418,478.0,512.0,9.876850297979825,21.85925036662957,26.874974846839905,-8.60098311141337,26.874974846839905,-8.2478107026418,29.920853392796108
623,647,34.0,536.0,19.0,85.38583663092717,True,,7.019067262236911,7.019067262236911,0.8924388682534415,9.331033011956606,5.609787446760557,5.449218886089511,5.449218886089511,436.0,466.0,9.812063813113587,21.85925187133253,26.876972652971745,-9.331033011956606,26.876972652971745,-5.449218886089511,39.45944930776718
624,816,37.0,637.0,19.0,85.40339175053944,True,,7.930026739835787,7.930026739835787,0.5049391002256759,8.872097535175271,5.551250055528223,7.000399669916078,7.000399669916078,464.0,496.0,9.895194973858585,21.86498717814684,26.875979386270046,-8.872097535175271,26.875979386270046,-7.000399669916078,34.756416984166684
625,771,39.0,726.0,10.0,85.41392371367583,True,,8.261694028850274,8.261694028850274,0.20510189805413653,8.549060316872783,5.555997538748007,7.863165429145738,7.863165429145738,460.0,494.0,9.751177935691473,21.561787334457044,26.87356846034527,-8.549060316872783,26.87356846034527,-7.863165429145738,31.63003070065902
626,136,39.0,738.0,8.0,85.4228524991789,True,,8.272472768248713,8.272472768248713,0.17591771900919145,8.50925514305709,5.562137727195927,7.929066626704298,7.929066626704298,458.0,492.0,9.721139462320425,21.495148343592884,26.872986257076263,-8.50925514305709,26.872986257076263,-7.929066626704298,31.463592929162278
627,404,42.0,852.0,8.0,85.49580872260277,True,,8.563713798348324,8.563713798348324,0.06443459692650852,8.622289629188856,5.487221529373889,8.622166147349219,8.622166147349219,472.0,508.0,9.759964542419848,21.623870186135175,26.872380077838898,-8.622289629188856,26.872380077838898,-8.622166147349219,28.28925509727494
