run_id,start_ts,end_ts,duration_s,num_samples,start_temp,temp_ref,pid_source,far_kp,far_ki,far_kd,mid_kp,mid_ki,mid_kd,near_kp,near_ki,near_kd,mse,mae,cost,tail_mae,overshoot
run_1780083174_5148954b,1780083655.5266767,1780084855.2444713,1199.7177946567535,600,29.102149963378906,0.0,schedule[5],6,1000,49,20,455,26,20,62,50,152.68769818507755,7.369385707756514,22.771710232569436,0.4959962869232351,1.4925050735473633
run_1780085037_5232a092,1780085518.5378478,1780086718.2484303,1199.7105824947357,601,28.957948684692383,0.0,schedule[6],6,1000,49,20,457,14,20,150,1,145.41480042407701,7.316145878235499,57.14220119402351,0.8079997244335356,2.3734827041625977
run_1780086900_e9a979df,1780087381.5510468,1780088580.2697527,1198.7187058925629,600,28.621408462524414,0.0,schedule[7],6,1000,49,20,457,14,20,62,50,145.09604651083353,7.153703847726186,22.781223561262262,0.5055096156160597,1.4925050735473633
run_1780528243_a1d000ef,1780528244.4209983,1780529444.1319861,1199.7109878063202,601,21.86184310913086,0.0,schedule[0],1,998,3,19,456,49,7,81,50,120.26879157292004,6.8157600124677025,10.461911555201597,0.30413811446646966,1.0078577995300293
run_1780529626_222115b5,1780530107.4309998,1780531307.1479416,1199.716941833496,601,24.394285202026367,0.0,schedule[1],1,998,3,19,456,49,7,79,47,113.95316623145462,6.185929379065832,12.286932185762604,0.27499787012736004,1.09598970413208
run_1780531489_5f4a454f,1780531970.443218,1780533170.146875,1199.70365691185,601,24.438722610473633,0.0,schedule[2],1,998,3,19,456,49,7,80,46,125.21027188452642,6.674902920325597,12.302460588545227,0.29052627290998184,1.09598970413208
run_1780533352_8b386761,1780533833.454346,1780535033.1613042,1199.7069582939148,601,24.394285202026367,0.0,schedule[0],1,998,3,19,456,49,7,81,50,121.37813800138099,6.563137848774592,12.310796339794935,0.29886202415969104,1.09598970413208
run_1780535215_47d52d19,1780535696.4658823,1780536896.185337,1199.7194547653198,601,24.57208251953125,0.0,schedule[1],1,998,3,19,456,49,7,79,47,129.86520981855196,6.867989223400752,11.348952909428952,0.28380803672634825,1.0519099235534668
run_1780537078_343f2a9f,1780537559.4774513,1780538759.1935298,1199.7160785198212,601,24.260963439941406,0.0,schedule[2],1,998,3,19,456,49,7,80,46,116.82393618570536,6.392936270634333,12.289480957136758,0.27754664150151337,1.09598970413208
run_1780538941_5f735dc2,1780539422.490105,1780540622.1951866,1199.7050817012787,601,24.305397033691406,0.0,schedule[0],1,998,3,19,456,49,7,81,50,116.87234483215609,6.4024210949738825,11.354213361614752,0.2890684889121489,1.0519099235534668
run_1780540804_9e56ad78,1780541285.5010822,1780542485.214354,1199.713271856308,601,24.34983253479004,0.0,schedule[1],1,998,3,19,456,49,7,79,47,118.38789714721989,6.448060349623362,11.353639647121621,0.28849477441901833,1.0519099235534668
run_1780546896_1e418bf6,1780547377.539275,1780548577.252702,1199.713427066803,601,24.749921798706055,0.0,schedule[0],1,998,3,7,671,44,1,986,48,144.6714180566859,7.342552275657654,0.8899951719830688,0.2207881628577389,0.25869035720825195
run_1780548759_97b86532,1780549240.551431,1780550440.2560625,1199.7046315670013,601,23.816524505615234,0.0,schedule[1],1,998,3,17,671,44,1,984,49,91.90447573854125,5.395899067719777,0.6873881420733188,0.22668014884625792,0.21464109420776367
run_1780550622_0a5fb619,1780551103.561579,1780552303.2686386,1199.707059621811,601,23.86095428466797,0.0,schedule[2],1,998,3,8,672,44,1,982,49,92.80271558419422,5.447264708280564,0.9312632931516243,0.2620562840262944,0.25869035720825195
run_1780553758_a295a458,1780554239.676846,1780555439.2997682,1199.6229221820831,601,25.55017852783203,0.0,schedule[0],1,998,3,7,671,44,1,495,50,130.01020190680762,6.760076322158178,0.9079292077974743,0.23872219867214434,0.25869035720825195
run_1780555621_9e1366c3,1780556102.5935059,1780557302.2995136,1199.70600771904,601,24.083168029785156,0.0,schedule[1],1,998,3,7,671,44,1,517,50,94.65089335667278,5.523634303808212,0.9029688751672844,0.23376186604195454,0.25869035720825195
run_1780557484_ef775909,1780557965.6041229,1780559165.3180537,1199.7139308452606,601,23.949857711791992,0.0,schedule[2],1,998,3,17,671,44,1,517,50,95.50060549364761,5.611865075031917,0.8929262444729948,0.22371923534766489,0.25869035720825195
run_1780559347_c6a37450,1780559828.6166174,1780561028.3246505,1199.7080330848694,601,24.172046661376953,0.0,schedule[3],1,998,3,17,671,44,1,541,49,97.40170247362232,5.668963828086853,0.9010825375852936,0.2318755284599636,0.25869035720825195
run_1780561210_75abf2ae,1780561691.6245766,1780562891.3333185,1199.708741903305,601,23.994287490844727,0.0,schedule[4],1,998,3,8,672,44,1,495,50,95.3841076240118,5.579568359851837,0.9071279223614008,0.2379209132360709,0.25869035720825195
run_1780563073_e2251f80,1780563554.6400816,1780564754.3516717,1199.711590051651,601,23.994287490844727,0.0,schedule[5],1,998,3,8,672,44,1,541,49,96.9774544474005,5.6490629581610365,0.906036421076688,0.2368294119513581,0.25869035720825195
