decision_idx,elapsed_s,temp,error,old_kp,old_ki,old_kd,kp,ki,kd,changed,mpc_cost,current_pid_cost,horizon_overshoot_max,horizon_overshoot_rmse,horizon_mae,horizon_final_abs_error,horizon_near_std,pid_change_norm,n_evaluated,horizon_steps,optimize_ms
73,720.0,0.04862062371103093,-0.04862062371103093,34.0,15.0,15.0,35.0,12.0,18.0,True,0.01871840252124447,1.5731405993619292,0.0,0.0,0.019170043276244542,0.018635684223227145,0.002323599731434214,0.09193522915135617,768,30,96897.45620003669
74,730.0,0.016954365244600922,-0.016954365244600922,35.0,12.0,18.0,35.0,12.0,18.0,False,0.01417017963580038,0.01417017963580038,0.0,0.0,0.018610511228659258,0.015643664874914975,0.0013131224763055212,0.0,768,30,99480.47450004378
75,740.0,0.01739807313424535,-0.01739807313424535,35.0,12.0,18.0,35.0,12.0,18.0,False,0.014241369281451966,0.014241369281451966,0.0,0.0,0.017934033866367827,0.011415590480282845,0.002473383634018489,0.0,768,30,112790.71249999106
76,750.0,0.018873146240366623,-0.018873146240366623,35.0,12.0,18.0,35.0,12.0,18.0,False,0.015258219072974187,0.015258219072974187,0.0,0.0,0.016348751195891964,0.007024307392384799,0.004238157568801698,0.0,768,30,111566.65759999305
77,760.0,0.020084621530259028,-0.020084621530259028,35.0,12.0,18.0,35.0,12.0,18.0,False,0.015568673166562888,0.015568673166562888,0.0,0.0,0.013766422776704227,0.002152543986994715,0.005869558308862342,0.0,768,30,108427.53630003426
78,770.0,0.020113041514377983,-0.020113041514377983,35.0,12.0,18.0,36.0,181.0,20.0,True,0.021335336406711824,0.37051947316783396,0.0,0.0,0.01765882227197532,0.0036745454481206252,0.007404969759359667,0.11563597095371125,768,30,108915.50639999332
79,780.0,0.02631034120622644,-0.02631034120622644,36.0,181.0,20.0,36.0,22.0,13.0,True,0.025333825807209127,0.23536020958444204,0.0,0.0,0.020491159004996005,0.011128741330139746,0.006677071964854208,0.23170794114316354,768,30,121735.15020002378
80,790.0,0.01577315451049799,-0.01577315451049799,36.0,22.0,13.0,1.0,95.0,14.0,True,0.053735401076203775,0.2594366667726873,0.0,0.0,0.040554797519932136,0.017928022490195872,0.016251926928129143,0.41565764708611214,768,30,121294.71419996116
81,800.0,0.03460745479151228,-0.03460745479151228,1.0,95.0,14.0,14.0,73.0,17.0,True,0.025922082183099642,1.2383257660551006,0.0,0.0,0.022197325617465444,0.005185271852496953,0.008551481305463795,0.17870185224304852,768,30,123684.11580001703
82,810.0,0.011908553139619471,-0.011908553139619471,14.0,73.0,17.0,14.0,101.0,13.0,True,0.04075100864654327,1.655167341298122,0.0,0.0,0.039772890475736254,0.006730377040184976,0.014102521649079014,0.12261987331455033,768,30,135507.78769998578
83,820.0,0.03808455501621211,-0.03808455501621211,14.0,101.0,13.0,16.0,390.0,20.0,True,0.05533751857698087,2.5537555649616093,0.0,0.0,0.05685876024029615,0.0168697528561097,0.016408093654542866,0.2714702791781059,768,30,125633.54010001058
